value;description
0;
10;
11;
12;
13;
14;
15;
16;
17;
18;
19;
1;
20;
21;
22;
23;
24;
25;
26;
27;
28;
29;
2;
30;
31;
32;
33;
34;
35;
36;
37;
38;
39;
3;
40;
41;
42;
43;
44;
45;
46;
47;
48;
49;
4;
50;
51;
52;
53;
54;
55;
56;
57;
58;
59;
5;
60;
61;
62;
63;
64;
65;
66;
67;
68;
69;
6;
70;
71;
72;
73;
74;
75;
76;
77;
78;
79;
7;
80;
81;
82;
83;
84;
85;
86;
87;
88;
89;
8;
90;
91;
92;
93;
94;
95;
96;
97;
98;
99;
9;
a;
aby;
aj;
ak;
akej;
akejže;
ako;
akom;
akomže;
akou;
akouže;
akože;
aká;
akáže;
aké;
akého;
akéhože;
akému;
akémuže;
akéže;
akú;
akúže;
aký;
akých;
akýchže;
akým;
akými;
akýmiže;
akýmže;
akýže;
ale;
alebo;
ani;
asi;
avšak;
až;
ba;
bez;
bezo;
bol;
bola;
boli;
bolo;
bude;
budem;
budeme;
budete;
budeš;
budú;
buď;
by;
byť;
cez;
cezo;
dnes;
do;
ešte;
ho;
hoci;
i;
iba;
ich;
im;
inej;
inom;
iná;
iné;
iného;
inému;
iní;
inú;
iný;
iných;
iným;
inými;
ja;
je;
jeho;
jej;
jemu;
ju;
k;
kam;
kamže;
každou;
každá;
každé;
každého;
každému;
každí;
každú;
každý;
každých;
každým;
každými;
kde;
kej;
kejže;
keď;
keďže;
kie;
kieho;
kiehože;
kiemu;
kiemuže;
kieže;
koho;
kom;
komu;
kou;
kouže;
kto;
ktorej;
ktorou;
ktorá;
ktoré;
ktorí;
ktorú;
ktorý;
ktorých;
ktorým;
ktorými;
ku;
ká;
káže;
ké;
kéže;
kú;
kúže;
ký;
kýho;
kýhože;
kým;
kýmu;
kýmuže;
kýže;
lebo;
leda;
ledaže;
len;
ma;
majú;
mal;
mala;
mali;
mať;
medzi;
menej;
mi;
mna;
mne;
mnou;
moja;
moje;
mojej;
mojich;
mojim;
mojimi;
mojou;
moju;
možno;
mu;
musia;
musieť;
musí;
musím;
musíme;
musíte;
musíš;
my;
má;
mám;
máme;
máte;
máš;
môcť;
môj;
môjho;
môže;
môžem;
môžeme;
môžete;
môžeš;
môžu;
mňa;
na;
nad;
nado;
najmä;
nami;
naša;
naše;
našej;
naši;
našich;
našim;
našimi;
našou;
ne;
nech;
neho;
nej;
nejakej;
nejakom;
nejakou;
nejaká;
nejaké;
nejakého;
nejakému;
nejakú;
nejaký;
nejakých;
nejakým;
nejakými;
nemu;
než;
nich;
nie;
niektorej;
niektorom;
niektorou;
niektorá;
niektoré;
niektorého;
niektorému;
niektorú;
niektorý;
niektorých;
niektorým;
niektorými;
nielen;
niečo;
nim;
nimi;
nič;
ničoho;
ničom;
ničomu;
ničím;
no;
nová;
nové;
noví;
nový;
nám;
nás;
náš;
nášho;
ním;
o;
od;
odo;
on;
ona;
oni;
ono;
ony;
oň;
oňho;
po;
pod;
podo;
podľa;
pokiaľ;
popod;
popri;
potom;
poza;
pre;
pred;
predo;
preto;
pretože;
prečo;
pri;
prvá;
prvé;
prví;
prvý;
práve;
pýta;
s;
sa;
seba;
sebe;
sebou;
sem;
si;
sme;
so;
som;
späť;
ste;
svoj;
svoja;
svoje;
svojho;
svojich;
svojim;
svojimi;
svojou;
svoju;
svojím;
svojími;
sú;
ta;
tak;
takej;
takejto;
taká;
takáto;
také;
takého;
takéhoto;
takému;
takémuto;
takéto;
takí;
takú;
takúto;
taký;
takýto;
takže;
tam;
teba;
tebe;
tebou;
teda;
tej;
tejto;
ten;
tento;
ti;
tie;
tieto;
tiež;
to;
toho;
tohoto;
tohto;
tom;
tomto;
tomu;
tomuto;
toto;
tou;
touto;
tu;
tvoj;
tvoja;
tvoje;
tvojej;
tvojho;
tvoji;
tvojich;
tvojim;
tvojimi;
tvojím;
tvojími;
ty;
tá;
táto;
tí;
títo;
tú;
túto;
tých;
tým;
tými;
týmto;
u;
už;
v;
vami;
vaša;
vaše;
vašej;
vaši;
vašich;
vašim;
vaším;
veď;
viac;
vo;
vy;
vám;
vás;
váš;
vášho;
však;
všetci;
všetka;
všetko;
všetky;
všetok;
z;
za;
začo;
začože;
zo;
áno;
čej;
či;
čia;
čie;
čieho;
čiemu;
čiu;
čo;
čoho;
čom;
čomu;
čou;
čože;
čí;
čím;
čími;
ďalšia;
ďalšie;
ďalšieho;
ďalšiemu;
ďalšiu;
ďalšom;
ďalšou;
ďalší;
ďalších;
ďalším;
ďalšími;
ňom;
ňou;
ňu;
že;
